,n_req,timestamp,stations
300,322,2010-01-04,3
301,30,2010-01-04,8
302,556,2010-01-04,24
303,228,2010-01-04,25
304,3001,2010-01-04,26
305,268,2010-01-04,34
306,336,2010-01-04,35
307,831,2010-01-04,39
308,2463,2010-01-04,47
309,128,2010-01-04,55
310,291,2011-01-04,3
311,22,2011-01-04,8
312,465,2011-01-04,24
313,206,2011-01-04,25
314,1933,2011-01-04,26
315,240,2011-01-04,34
316,276,2011-01-04,35
317,471,2011-01-04,39
318,1698,2011-01-04,47
319,110,2011-01-04,55
320,315,2012-01-04,3
321,41,2012-01-04,8
322,589,2012-01-04,24
323,239,2012-01-04,25
324,3081,2012-01-04,26
325,289,2012-01-04,34
326,315,2012-01-04,35
327,849,2012-01-04,39
328,2822,2012-01-04,47
329,188,2012-01-04,55
330,274,2013-01-04,3
331,17,2013-01-04,8
332,371,2013-01-04,24
333,287,2013-01-04,25
334,1859,2013-01-04,26
335,206,2013-01-04,34
336,252,2013-01-04,35
337,562,2013-01-04,39
338,1576,2013-01-04,47
339,80,2013-01-04,55
340,376,2014-01-04,3
341,30,2014-01-04,8
342,489,2014-01-04,24
343,215,2014-01-04,25
344,2650,2014-01-04,26
345,191,2014-01-04,34
346,293,2014-01-04,35
347,736,2014-01-04,39
348,2189,2014-01-04,47
349,86,2014-01-04,55
350,134,2015-01-04,3
351,14,2015-01-04,8
352,234,2015-01-04,24
353,189,2015-01-04,25
354,1316,2015-01-04,26
355,164,2015-01-04,34
356,163,2015-01-04,35
357,341,2015-01-04,39
358,1092,2015-01-04,47
359,67,2015-01-04,55
360,289,2016-01-04,3
361,44,2016-01-04,8
362,541,2016-01-04,24
363,318,2016-01-04,25
364,2914,2016-01-04,26
365,264,2016-01-04,34
366,432,2016-01-04,35
367,908,2016-01-04,39
368,2389,2016-01-04,47
369,145,2016-01-04,55
370,332,2017-01-04,3
371,31,2017-01-04,8
372,472,2017-01-04,24
373,263,2017-01-04,25
374,2289,2017-01-04,26
375,268,2017-01-04,34
376,580,2017-01-04,35
377,499,2017-01-04,39
378,1708,2017-01-04,47
379,108,2017-01-04,55
380,257,2018-01-04,3
381,31,2018-01-04,8
382,423,2018-01-04,24
383,224,2018-01-04,25
384,2829,2018-01-04,26
385,232,2018-01-04,34
386,296,2018-01-04,35
387,834,2018-01-04,39
388,2233,2018-01-04,47
389,156,2018-01-04,55
390,407,2019-01-04,3
391,22,2019-01-04,8
392,604,2019-01-04,24
393,389,2019-01-04,25
394,2311,2019-01-04,26
395,253,2019-01-04,34
396,381,2019-01-04,35
397,516,2019-01-04,39
398,2123,2019-01-04,47
399,129,2019-01-04,55
400,356,2010-01-05,3
401,33,2010-01-05,8
402,572,2010-01-05,24
403,240,2010-01-05,25
404,2484,2010-01-05,26
405,233,2010-01-05,34
406,400,2010-01-05,35
407,688,2010-01-05,39
408,2237,2010-01-05,47
409,76,2010-01-05,55
410,321,2011-01-05,3
411,26,2011-01-05,8
412,424,2011-01-05,24
413,246,2011-01-05,25
414,1938,2011-01-05,26
415,195,2011-01-05,34
416,212,2011-01-05,35
417,552,2011-01-05,39
418,1763,2011-01-05,47
419,118,2011-01-05,55
420,303,2012-01-05,3
421,24,2012-01-05,8
422,445,2012-01-05,24
423,191,2012-01-05,25
424,2209,2012-01-05,26
425,194,2012-01-05,34
426,303,2012-01-05,35
427,585,2012-01-05,39
428,1799,2012-01-05,47
429,100,2012-01-05,55
430,129,2013-01-05,3
431,17,2013-01-05,8
432,302,2013-01-05,24
433,199,2013-01-05,25
434,1349,2013-01-05,26
435,139,2013-01-05,34
436,224,2013-01-05,35
437,433,2013-01-05,39
438,1105,2013-01-05,47
439,40,2013-01-05,55
440,246,2014-01-05,3
441,24,2014-01-05,8
442,327,2014-01-05,24
443,195,2014-01-05,25
444,1794,2014-01-05,26
445,189,2014-01-05,34
446,205,2014-01-05,35
447,562,2014-01-05,39
448,1807,2014-01-05,47
449,82,2014-01-05,55
450,254,2015-01-05,3
451,29,2015-01-05,8
452,479,2015-01-05,24
453,291,2015-01-05,25
454,2075,2015-01-05,26
455,226,2015-01-05,34
456,300,2015-01-05,35
457,572,2015-01-05,39
458,1834,2015-01-05,47
459,104,2015-01-05,55
460,357,2016-01-05,3
461,60,2016-01-05,8
462,778,2016-01-05,24
463,316,2016-01-05,25
464,3987,2016-01-05,26
465,421,2016-01-05,34
466,611,2016-01-05,35
467,1160,2016-01-05,39
468,3409,2016-01-05,47
469,155,2016-01-05,55
470,418,2017-01-05,3
471,45,2017-01-05,8
472,557,2017-01-05,24
473,268,2017-01-05,25
474,2461,2017-01-05,26
475,219,2017-01-05,34
476,425,2017-01-05,35
477,468,2017-01-05,39
478,1973,2017-01-05,47
479,129,2017-01-05,55
480,403,2018-01-05,3
481,55,2018-01-05,8
482,798,2018-01-05,24
483,394,2018-01-05,25
484,3664,2018-01-05,26
485,335,2018-01-05,34
486,526,2018-01-05,35
487,1021,2018-01-05,39
488,3218,2018-01-05,47
489,243,2018-01-05,55
490,289,2019-01-05,3
491,24,2019-01-05,8
492,377,2019-01-05,24
493,256,2019-01-05,25
494,1748,2019-01-05,26
495,169,2019-01-05,34
496,314,2019-01-05,35
497,375,2019-01-05,39
498,1395,2019-01-05,47
499,108,2019-01-05,55
500,246,2010-01-06,3
501,33,2010-01-06,8
502,444,2010-01-06,24
503,290,2010-01-06,25
504,2068,2010-01-06,26
505,189,2010-01-06,34
506,304,2010-01-06,35
507,585,2010-01-06,39
508,1800,2010-01-06,47
509,96,2010-01-06,55
510,230,2011-01-06,3
511,10,2011-01-06,8
512,403,2011-01-06,24
513,201,2011-01-06,25
514,1820,2011-01-06,26
515,185,2011-01-06,34
516,232,2011-01-06,35
517,492,2011-01-06,39
518,1826,2011-01-06,47
519,118,2011-01-06,55
520,215,2012-01-06,3
521,32,2012-01-06,8
522,444,2012-01-06,24
523,217,2012-01-06,25
524,1646,2012-01-06,26
525,140,2012-01-06,34
526,244,2012-01-06,35
527,423,2012-01-06,39
528,1553,2012-01-06,47
529,112,2012-01-06,55
530,156,2013-01-06,3
531,14,2013-01-06,8
532,279,2013-01-06,24
533,123,2013-01-06,25
534,1135,2013-01-06,26
535,105,2013-01-06,34
536,173,2013-01-06,35
537,320,2013-01-06,39
538,929,2013-01-06,47
539,45,2013-01-06,55
540,353,2014-01-06,3
541,35,2014-01-06,8
542,577,2014-01-06,24
543,273,2014-01-06,25
544,1934,2014-01-06,26
545,217,2014-01-06,34
546,308,2014-01-06,35
547,493,2014-01-06,39
548,1810,2014-01-06,47
549,93,2014-01-06,55
550,277,2015-01-06,3
551,42,2015-01-06,8
552,426,2015-01-06,24
553,230,2015-01-06,25
554,2447,2015-01-06,26
555,240,2015-01-06,34
556,391,2015-01-06,35
557,704,2015-01-06,39
558,1968,2015-01-06,47
559,82,2015-01-06,55
560,284,2016-01-06,3
561,53,2016-01-06,8
562,578,2016-01-06,24
563,305,2016-01-06,25
564,2610,2016-01-06,26
565,294,2016-01-06,34
566,505,2016-01-06,35
567,724,2016-01-06,39
568,2243,2016-01-06,47
569,109,2016-01-06,55
570,320,2017-01-06,3
571,23,2017-01-06,8
572,359,2017-01-06,24
573,241,2017-01-06,25
574,2205,2017-01-06,26
575,223,2017-01-06,34
576,311,2017-01-06,35
577,468,2017-01-06,39
578,1634,2017-01-06,47
579,120,2017-01-06,55
580,322,2018-01-06,3
581,74,2018-01-06,8
582,734,2018-01-06,24
583,323,2018-01-06,25
584,3581,2018-01-06,26
585,389,2018-01-06,34
586,485,2018-01-06,35
587,1237,2018-01-06,39
588,3205,2018-01-06,47
589,190,2018-01-06,55
590,288,2019-01-06,3
591,30,2019-01-06,8
592,428,2019-01-06,24
593,270,2019-01-06,25
594,1685,2019-01-06,26
595,151,2019-01-06,34
596,239,2019-01-06,35
597,464,2019-01-06,39
598,1550,2019-01-06,47
599,119,2019-01-06,55
600,310,2010-01-07,3
601,38,2010-01-07,8
602,401,2010-01-07,24
603,253,2010-01-07,25
604,1902,2010-01-07,26
605,217,2010-01-07,34
606,305,2010-01-07,35
607,565,2010-01-07,39
608,1885,2010-01-07,47
609,65,2010-01-07,55
610,176,2011-01-07,3
611,15,2011-01-07,8
612,322,2011-01-07,24
613,151,2011-01-07,25
614,1628,2011-01-07,26
615,135,2011-01-07,34
616,185,2011-01-07,35
617,560,2011-01-07,39
618,1390,2011-01-07,47
619,69,2011-01-07,55
620,126,2012-01-07,3
621,13,2012-01-07,8
